id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
588361;19/03/2024;terça-feira;12:15:00;RJ;40;81;PETROPOLIS;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Reta;Sim;3;0;1;0;2;0;1;2;-22,50560003;-43,23186384;SPRF-RJ;DEL01-RJ;UOP01-DEL01-RJ
588364;19/03/2024;terça-feira;15:00:00;MG;40;454;CAETANOPOLIS;Velocidade Incompatível;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Reta;Não;1;0;0;1;0;0;1;1;-19,30931885;-44,37278577;SPRF-MG;DEL02-MG;UOP01-DEL02-MG
588365;19/03/2024;terça-feira;15:50:00;GO;60;137,9;GOIANIA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Aclive;Reta";Sim;2;0;2;0;0;0;2;2;-16,61007954;-49,20557499;SPRF-GO;DEL01-GO;UOP01-DEL01-GO
588366;07/03/2024;quinta-feira;21:45:00;RS;290;104;ELDORADO DO SUL;Ausência de reação do condutor;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;4;0;0;0;4;0;0;2;-29,993122;-51,275398;SPRF-RS;DEL02-RS;UOP01-DEL02-RS
588368;19/03/2024;terça-feira;14:40:00;PE;408;101,1;SAO LOURENCO DA MATA;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;"Declive;Reta";Não;1;0;0;0;1;0;0;1;-8,04710272;-35,00887967;SPRF-PE;DEL01-PE;UOP01-DEL01-PE
588369;19/03/2024;terça-feira;16:00:00;BA;101;877,7;TEIXEIRA DE FREITAS;Acessar a via sem observar a presença dos outros veículos;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;2;0;0;1;1;0;1;2;-17,54201935;-39,71657896;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
588370;08/01/2024;segunda-feira;07:40:00;SC;101;335,3;TUBARAO;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;Viaduto;Sim;3;0;0;1;2;0;1;2;-28,4762236;-49,0300294;SPRF-SC;DEL02-SC;UOP01-DEL02-SC
588371;19/03/2024;terça-feira;16:20:00;ES;101;264,2;SERRA;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;3;0;0;1;2;0;1;3;-20,17292791;-40,26736384;SPRF-ES;DEL02-ES;UOP01-DEL02-ES
588372;19/03/2024;terça-feira;16:40:00;SP;116;226;GUARULHOS;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Em Obras;Sim;2;0;2;0;0;0;2;1;-23,4929231;-46,55170161;SPRF-SP;DEL01-SP;UOP01-DEL01-SP
588373;19/03/2024;terça-feira;16:20:00;PR;116;125;FAZENDA RIO GRANDE;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Sim;3;0;1;0;2;0;1;2;-25,633784;-49,31338;SPRF-PR;DEL01-PR;UOP03-DEL01-PR
588374;19/03/2024;terça-feira;16:00:00;SP;381;74;SAO PAULO;Curva acentuada;Capotamento;Com Vítimas Feridas;Pleno dia;Crescente;Garoa/Chuvisco;Dupla;Curva;Não;1;0;1;0;0;0;1;1;-23,37208014;-46,55700294;SPRF-SP;DEL03-SP;UOP01-DEL03-SP
